date,ticker,sym_root,sym_suffix,n_quotes,quoted_spread_bps_mean,quoted_spread_bps_median,mid_price_mean
2026-08-11,ECL,ECL,,13178,7.8982,7.0131,284.7551
2026-08-11,ELV,ELV,,13078,12.7468,11.3121,392.4399
2026-08-11,EMR,EMR,,19605,8.7315,7.3719,162.6422
2026-08-11,ENPH,ENPH,,28473,11.525,9.5443,41.9476
2026-08-11,EOG,EOG,,19985,7.2292,6.2851,142.5565
2026-08-11,EQIX,EQIX,,6742,18.0955,17.3104,1040.4201
2026-08-11,ETN,ETN,,29667,8.0472,7.556,459.6405
2026-08-11,EXC,EXC,,145592,2.6197,2.2389,44.7244
2026-08-11,F,F,,83339,7.1051,7.0998,14.0829
2026-08-11,FCX,FCX,,357115,2.828,2.9015,68.8211
2026-08-11,FDX,FDX,,19995,9.1241,8.3928,323.0242
2026-08-11,FSLR,FSLR,,23694,21.6545,20.255,241.8324
2026-08-11,FTNT,FTNT,,27376,9.4002,8.0408,162.1707
2026-08-11,GD,GD,,10000,9.9524,9.6684,394.0285
2026-08-11,GE,GE,,32272,6.2991,5.7183,368.5626
2026-08-11,GEHC,GEHC,,41058,4.9259,4.1354,72.7189
2026-08-11,GILD,GILD,,44351,5.3538,4.4046,135.6222
2026-08-11,GIS,GIS,,145183,3.1608,2.6621,37.5352
2026-08-11,GM,GM,,28089,3.9177,3.3585,89.3143
2026-08-11,GOOGL,GOOG,L,287588,1.2539,1.1472,348.2656
2026-08-11,GS,GS,,35818,6.8691,6.3302,1035.5772
2026-08-11,HAL,HAL,,107462,3.1888,2.9599,33.7979
2026-08-11,HCA,HCA,,26046,9.071,6.8136,412.36
2026-08-11,HD,HD,,32507,4.5233,4.2009,355.8447
2026-08-11,HON,HON,,42634,12.1126,10.777,235.0442
2026-08-11,ICE,ICE,,26239,8.0685,7.3078,150.6118
2026-08-11,INTC,INTC,,1194179,1.565,1.0316,97.3258
2026-08-11,INTU,INTU,,31139,7.6608,5.9701,334.8726
2026-08-11,ISRG,ISRG,,71488,4.6958,4.2563,399.3379
2026-08-11,IWM,IWM,,1542650,0.4386,0.332,301.3235
2026-08-11,JNJ,JNJ,,44043,4.5027,3.8519,259.8234
2026-08-11,JPM,JPM,,53703,3.2591,2.7649,361.604
2026-08-11,KHC,KHC,,119706,4.1339,4.0543,24.6891
2026-08-11,KMI,KMI,,94772,3.2056,3.1681,31.5519
2026-08-11,KO,KO,,209932,1.8271,1.1596,86.5601
2026-08-11,KR,KR,,102076,2.8885,1.7891,56.2049
2026-08-11,LIN,LIN,,19916,6.5165,6.0877,492.2923
2026-08-11,LLY,LLY,,23124,9.0459,8.3503,1222.0379
2026-08-11,LMT,LMT,,13006,9.9717,9.0671,596.45
2026-08-11,LOW,LOW,,15594,10.1632,9.0037,222.0285
2026-08-11,LULU,LULU,,20338,9.2374,7.1705,125.3685
2026-08-11,MA,MA,,46160,5.2949,4.9464,564.9531
2026-08-11,MCD,MCD,,43576,3.5482,3.2965,272.4246
2026-08-11,MDLZ,MDLZ,,166266,2.4039,1.6317,61.414
2026-08-11,MDT,MDT,,110622,3.2396,2.2277,90.127
2026-08-11,META,META,,100269,3.4987,3.125,605.6815
2026-08-11,MLM,MLM,,7991,20.6069,18.3561,551.7181
2026-08-11,MNST,MNST,,63322,3.8991,4.3554,45.5971
2026-08-11,MO,MO,,139127,2.4591,1.5421,65.0267
2026-08-11,MPC,MPC,,25593,11.2122,10.9526,331.0597
2026-08-11,MRK,MRK,,39202,3.9176,3.8027,130.6006
2026-08-11,MS,MS,,27668,5.8392,4.6501,215.2513
2026-08-11,MSFT,MSFT,,164730,1.9567,1.7921,502.1368
2026-08-11,MU,MU,,309147,4.2698,3.983,856.4505
2026-08-11,NEE,NEE,,237680,1.9536,1.1793,85.3554
